group	fill	y	showSelected3
1	transparent	1.54368779759202	other
2	transparent	1.14718586146777	other
3	transparent	0.782995935224519	other
4	transparent	0.483118113419852	other
5	transparent	-0.398433068163651	other
6	transparent	-0.455609990108626	other
7	transparent	-0.502398598178383	other
8	transparent	-0.544970403731871	other
9	transparent	-0.583457909435671	other
10	transparent	-0.619985853121683	other
11	transparent	-0.658614622821873	other
12	transparent	-0.693131274178467	other
13	transparent	-0.722896581104585	other
14	transparent	-0.749900515666906	other
15	transparent	-0.800038606407848	other
16	transparent	-0.829523227776872	other
17	transparent	-0.874721645850047	other
18	transparent	-0.906281401139365	other
19	transparent	-1.03459230633985	other
20	transparent	-1.10330258139737	other
21	transparent	-1.17783982975238	other
22	transparent	-1.2534426382691	other
23	transparent	-1.31286162201822	other
24	transparent	-1.36189384103858	other
25	transparent	-1.40900595807227	other
26	transparent	-1.46766143351053	other
27	transparent	-1.52443621659093	other
28	transparent	-1.57959128633787	other
29	transparent	-1.64247878521073	other
30	transparent	-1.69943092837657	other
31	transparent	-1.78596531157378	other
32	transparent	-1.85742474514619	other
33	transparent	-1.9392956221942	other
34	transparent	-2.01562549962444	other
35	transparent	-2.13230520216914	other
36	transparent	-2.23702539893088	other
37	transparent	-2.37337762899446	other
38	transparent	-2.56309918927642	other
39	transparent	-2.73608762958866	other
40	transparent	-2.89659674305839	other
41	transparent	-3.07194212481316	other
42	transparent	-3.29520946125731	other
43	transparent	-3.46499747543956	other
44	transparent	-3.67059717300298	other
45	transparent	-3.93899360174246	other
46	transparent	-4.18564008103639	other
47	transparent	-4.7544402615088	other
48	transparent	-5.19810353078986	other
49	transparent	-5.75551573746451	other
50	#000000	-6.12390880005897	min
51	transparent	1.59437535219532	other
52	transparent	1.14769064010022	other
53	transparent	0.978323512421667	other
54	transparent	0.886873490679331	other
55	transparent	0.653414827193392	other
56	#000000	0.644387090513631	min
57	transparent	0.651914397810972	other
58	transparent	0.651348439237322	other
59	transparent	0.647150247088266	other
60	transparent	0.661368340054492	other
61	transparent	0.664701786760173	other
62	transparent	0.666616632745456	other
63	transparent	0.667624245144867	other
64	transparent	0.667490222990712	other
65	transparent	0.670263021549291	other
66	transparent	0.671130027596421	other
67	transparent	0.670264457676158	other
68	transparent	0.671859132288426	other
69	transparent	0.678887729856639	other
70	transparent	0.681693033895503	other
71	transparent	0.67718638603402	other
72	transparent	0.67718638603402	other
73	transparent	0.66191570792097	other
74	transparent	0.662450767914783	other
75	transparent	0.662066395109132	other
76	transparent	0.662066395109132	other
77	transparent	0.661714431848568	other
78	transparent	0.66817175644166	other
79	transparent	0.670364711481632	other
80	transparent	0.678417506348481	other
81	transparent	0.655972450518471	other
82	transparent	0.655972450518471	other
83	transparent	0.656192715469525	other
84	transparent	0.655953001037653	other
85	transparent	0.655910563533158	other
86	transparent	0.655867088684073	other
87	transparent	0.656376157674004	other
88	transparent	0.657534028200686	other
89	transparent	0.656402867066728	other
90	transparent	0.65674968664068	other
91	transparent	0.657342755001301	other
92	transparent	0.657508617741329	other
93	transparent	0.658069946179845	other
94	transparent	0.658043109649433	other
95	transparent	0.658043109649433	other
96	transparent	0.657909211329743	other
97	transparent	0.657811784337323	other
98	transparent	0.657890577481653	other
99	transparent	0.657835796692176	other
100	transparent	0.657891786748726	other
